case_number,claimant,respondents,status
ARB/20/32,Setta Insaat Taahhüt Turz. Tekstil Gida San. Ve Tic. AS,Turkmenistan,Concluded
ARB/20/31,"IBT Group, LLC and IBT, LLC",Republic of Panama,Concluded
ARB/20/30,Donatas Aleksandravicius,Kingdom of Denmark,Concluded
ARB/20/29,"Human Rights Defenders Inc., as assignee of Natale Palazzo, Rodolfo Scodeller and Antonio Basile",Swiss Confederation,Concluded
ARB/20/28,Bob Meijer,Georgia,Pending
ARB/20/27,Barrick (PD) Australia Pty Limited,Independent State of Papua New Guinea,Pending
ARB/20/26,Fengzhen Min,Republic of Korea,Pending
ARB/20/25,Winshear Gold Corp.,United Republic of Tanzania,Pending
ARB/20/24,Teyliom International and others,Republic of Benin,Pending
ARB/20/23,Coöperatieve Rabobank U.A.,United Mexican States,Concluded
ARB/20/22,"Macro Trading Co., Ltd.",People's Republic of China,Concluded
ARB/20/21,AHG Industry GmbH & Co. KG,Republic of Iraq,Pending
ARB/20/20,Zaur Leshkasheli and Rosserlane Consultants Limited,Republic of Azerbaijan,Pending
ARB/20/19,"Campos de Pesé, S.A.",Republic of Panama,Pending
ARB/20/18,Desarrollo Vial de los Andes S.A.C.,Republic of Peru,Pending
ARB/20/17,Kansanshi Mining Plc,Republic of Zambia,Pending
ARB/20/16,AFC Investment Solutions S.L.,Republic of Colombia,Concluded
ARB/20/15,EP Wind Project (Rom) Six Ltd.,Romania,Pending
ARB/20/14,SMM Cerro Verde Netherlands B.V.,Republic of Peru,Pending
ARB/20/13,"Espíritu Santo Holdings, LP and L1bre Holding, LLC",United Mexican States,Pending
ARB/20/12,BRIF TRES d.o.o. Beograd and BRIF-TC d.o.o. Beograd,Republic of Serbia,Pending
ARB/20/11,Peteris Pildegovics and SIA North Star,Kingdom of Norway,Pending
ARB/20/10,Webuild S.p.A. (formerly Salini Impregilo S.p.A.),Republic of Panama,Pending
ARB/20/9,South32 SA Investments Limited,Republic of Colombia,Pending
ARB/20/8,Freeport-McMoRan Inc.,Republic of Peru,Pending
ARB/20/7,"Vercara, LLC (formerly Security Services, LLC, formerly Neustar, Inc.)",Republic of Colombia,Pending
UNCT/20/6,Theodore D. Einarsson and others,Canada,Pending
ARB/20/6,Adria Group B.V. and Adria Group Holding B.V.,Republic of Croatia,Pending
ARB/20/5,"Telcell Wireless, LLC and International Telcell Cellular, LLC",Georgia,Pending
ARB/20/4,Odebrecht Latinvest S.à.r.l.,Republic of Peru,Pending
ARB(AF)/20/3,"Liberty Seguros, Compañia de Seguros Y Reaseguros and Liberty UK and Europe Holdings Limited (UK)",Bolivarian Republic of Venezuela,Pending
UNCT/20/3,"Westmoreland Mining Holdings, LLC",Canada,Concluded
ARB/20/3,Hamburg Commercial Bank AG,Italian Republic,Pending
ARB(AF)/20/2,José Alejandro Hernández Contreras,Republic of Costa Rica,Concluded
UNCT/20/2,Carlos Sastre and others,United Mexican States,Concluded
ARB/20/2,Hope Services LLC,Republic of Cameroon,Concluded
CONC/20/1,Barrick (Niugini) Limited,Independent State of Papua New Guinea,Concluded
UNCT/20/1,"Odyssey Marine Exploration, Inc.",United Mexican States,Pending
